Start (local),End (local),Line,Status,Hours
Tue 21 Oct 16:33,Wed 22 Oct 01:29,Northern,Severe Delays,8.93
Tue 21 Oct 16:33,Wed 22 Oct 01:29,Piccadilly,Severe Delays,8.93
