start (local),end (local),line,status,hours
2025-11-03 16:01:34.003462+00:00,2025-11-09 01:29:00+00:00,Metropolitan,Part Closure,129.46
2025-11-03 16:01:34.003462+00:00,2025-11-04 01:29:00+00:00,Metropolitan,Minor Delays,9.46
2025-11-03 16:01:34.003462+00:00,2025-11-03 19:00:19+00:00,Piccadilly,Part Suspended,2.98
