year,station,annual_entries_exits,daily_avg_passengers
2017,Nan,253.0,0.6931506849315069
2017,625,149150.0,408.63013698630135
2017,747,147574.0,404.3123287671233
2017,669,121364.0,332.5041095890411
2017,741,121018.0,331.5561643835616
2017,635,113606.0,311.24931506849316
2017,634,112437.0,308.04657534246576
2017,719,93742.0,256.827397260274
2017,513,112547.0,308.34794520547945
2017,852,86663.0,237.43287671232878
2017,670,78992.0,216.41643835616438
2017,574,65497.0,179.44383561643835
2017,728,63871.0,174.9890410958904
2017,674,59266.0,162.37260273972603
2017,590,58814.0,161.13424657534247
2017,524,61234.0,167.76438356164383
2017,631,49948.0,136.84383561643835
2017,708,50391.0,138.05753424657533
2017,778,51028.0,139.8027397260274
2017,607,51101.0,140.0027397260274
2017,580,52158.0,142.8986301369863
2017,777,50772.0,139.1013698630137
2017,593,47068.0,128.95342465753424
2017,511,47116.0,129.0849315068493
2017,789,40613.0,111.26849315068493
2017,645,46698.0,127.93972602739726
2017,665,42971.0,117.72876712328767
2017,761,38241.0,104.76986301369863
2017,700,35840.0,98.1917808219178
2017,535,31046.0,85.05753424657534
2017,542,34869.0,95.53150684931506
2017,570,37290.0,102.16438356164383
2017,731,30036.0,82.2904109589041
2017,577,36844.0,100.94246575342466
2017,745,35810.0,98.10958904109589
2017,603,31198.0,85.47397260273972
2017,562,30323.0,83.07671232876713
2017,718,30496.0,83.55068493150685
2017,507,30413.0,83.32328767123288
2017,698,28355.0,77.68493150684931
2017,514,29410.0,80.57534246575342
2017,553,22563.0,61.81643835616438
2017,541,31085.0,85.16438356164383
2017,702,27847.0,76.2931506849315
2017,626,25026.0,68.56438356164384
2017,697,28879.0,79.12054794520547
2017,560,27918.0,76.4876712328767
2017,784,28187.0,77.22465753424657
2017,752,24980.0,68.43835616438356
2017,663,23741.0,65.04383561643836
2017,727,25494.0,69.84657534246575
2017,642,24959.0,68.38082191780822
2017,520,23869.0,65.3945205479452
2017,788,21804.0,59.73698630136986
2017,521,26446.0,72.45479452054795
2017,566,23269.0,63.75068493150685
2017,512,22562.0,61.81369863013698
2017,695,25788.0,70.65205479452055
2017,575,24492.0,67.1013698630137
2017,640,22337.0,61.1972602739726
2017,503,22327.0,61.16986301369863
2017,583,21724.0,59.51780821917808
2017,763,22590.0,61.89041095890411
2017,641,20984.0,57.49041095890411
2017,632,20416.0,55.93424657534246
2017,884,20492.0,56.14246575342466
2017,770,20042.0,54.90958904109589
2017,605,20170.0,55.26027397260274
2017,767,18188.0,49.83013698630137
2017,729,21847.0,59.85479452054795
2017,501,20680.0,56.657534246575345
2017,758,20776.0,56.92054794520548
2017,716,20187.0,55.30684931506849
2017,694,18960.0,51.945205479452056
2017,633,17433.0,47.76164383561644
2017,776,18185.0,49.821917808219176
2017,598,16908.0,46.323287671232876
2017,773,18267.0,50.04657534246575
2017,735,16200.0,44.38356164383562
2017,787,16503.0,45.21369863013699
2017,547,15071.0,41.29041095890411
2017,647,17036.0,46.673972602739724
2017,581,15310.0,41.945205479452056
2017,579,15534.0,42.558904109589044
2017,742,11961.0,32.76986301369863
2017,739,15357.0,42.07397260273972
2017,536,18732.0,51.320547945205476
2017,508,15336.0,42.016438356164386
2017,522,14573.0,39.92602739726028
2017,724,15731.0,43.0986301369863
2017,502,15080.0,41.31506849315068
2017,764,14693.0,40.25479452054795
2017,765,13820.0,37.863013698630134
2017,638,13539.0,37.09315068493151
2017,549,13665.0,37.43835616438356
2017,622,13475.0,36.917808219178085
2017,681,11823.0,32.391780821917806
